demographic,category,measure,label,value,r,theme
All Civil Servants,All Civil Servants,B14,I receive regular feedback on my performance,0.68,302170,LM
All Civil Servants,All Civil Servants,B15,The feedback I receive helps me to improve my performance,0.64,302170,LM
All Civil Servants,All Civil Servants,B16,I think that my performance is evaluated fairly,0.66,302170,LM
All Civil Servants,All Civil Servants,B17,Poor performance is dealt with effectively in my team,0.43,302170,LM
All Civil Servants,All Civil Servants,B18,The people in my team can be relied upon to help when things get difficult in my job,0.85,302170,MT
All Civil Servants,All Civil Servants,B19,The people in my team work together to find ways to improve the service we provide,0.82,302170,MT
All Civil Servants,All Civil Servants,B20,The people in my team are encouraged to come up with new and better ways of doing things,0.75,302170,MT
All Civil Servants,All Civil Servants,B21,I am able to access the right learning and development opportunities when I need to,0.63,302170,LD
All Civil Servants,All Civil Servants,B22,Learning and development activities I have completed in the past 12 months have helped to improve my performance,0.53,302170,LD
All Civil Servants,All Civil Servants,B23,There are opportunities for me to develop my career in [my organisation],0.53,302170,LD
All Civil Servants,All Civil Servants,B24,Learning and development activities I have completed while working for [my organisation] are helping me to develop my career,0.47,302170,LD
All Civil Servants,All Civil Servants,B25,I am treated fairly at work,0.79,302170,IF
All Civil Servants,All Civil Servants,B26,I am treated with respect by the people I work with,0.85,302170,IF
All Civil Servants,All Civil Servants,B27,I feel valued for the work I do,0.65,302170,IF
All Civil Servants,All Civil Servants,B28,"I think that [my organisation] respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc.)",0.75,302170,IF
All Civil Servants,All Civil Servants,B29,I get the information I need to do my job well,0.67,302170,RW
All Civil Servants,All Civil Servants,B30,I have clear work objectives,0.75,302170,RW
All Civil Servants,All Civil Servants,B31,I have the skills I need to do my job effectively,0.86,302170,RW
All Civil Servants,All Civil Servants,B32,I have the tools I need to do my job effectively,0.65,302170,RW
All Civil Servants,All Civil Servants,B33,I have an acceptable workload,0.62,302170,RW
All Civil Servants,All Civil Servants,B34,I achieve a good balance between my work life and my private life,0.69,302170,RW
All Civil Servants,All Civil Servants,B35,I feel that my pay adequately reflects my performance,0.3,302170,PB
All Civil Servants,All Civil Servants,B36,I am satisfied with the total benefits package,0.34,302170,PB
All Civil Servants,All Civil Servants,B37,Compared to people doing a similar job in other organisations I feel my pay is reasonable,0.26,302170,PB
All Civil Servants,All Civil Servants,B38,[Senior managers] in [my organisation] are sufficiently visible,0.55,302170,LC
All Civil Servants,All Civil Servants,B39,I believe the actions of [senior managers] are consistent with [my organisation's] values,0.49,302170,LC
All Civil Servants,All Civil Servants,B40,I believe that [the Executive Team has] a clear vision for the future of [my organisation],0.43,302170,LC
All Civil Servants,All Civil Servants,B41,"Overall, I have confidence in the decisions made by [my organisation's senior managers]",0.42,302170,LC
All Civil Servants,All Civil Servants,B42,I feel that change is managed well in [my organisation],0.32,302170,LC
All Civil Servants,All Civil Servants,B43,When changes are made in [my organisation] they are usually for the better,0.3,302170,LC
All Civil Servants,All Civil Servants,B44,[My organisation] keeps me informed about matters that affect me,0.55,302170,LC
All Civil Servants,All Civil Servants,B45,I have the opportunity to contribute my views before decisions are made that affect me,0.35,302170,LC
All Civil Servants,All Civil Servants,B46,I think it is safe to challenge the way things are done in [my organisation],0.44,302170,LC
All Civil Servants,All Civil Servants,B47,I am proud when I tell others I am part of [my organisation],0.57,302170,EE
All Civil Servants,All Civil Servants,B48,I would recommend [my organisation] as a great place to work,0.51,302170,EE
All Civil Servants,All Civil Servants,B49,I feel a strong personal attachment to [my organisation],0.49,302170,EE
All Civil Servants,All Civil Servants,B50,[My organisation] inspires me to do the best in my job,0.46,302170,EE
All Civil Servants,All Civil Servants,B51,[My organisation] motivates me to help it achieve its objectives,0.44,302170,EE
All Civil Servants,All Civil Servants,B52,I believe that [senior managers] in [my organisation] will take action on the results from this survey,0.43,302170,TA
All Civil Servants,All Civil Servants,B53,"Where I work, I think effective action has been taken on the results of the last survey",0.37,302170,TA
All Civil Servants,All Civil Servants,B54,I am trusted to carry out my job effectively,0.88,302170,OC
All Civil Servants,All Civil Servants,B55,"I believe I would be supported if I try a new idea, even if it may not work",0.68,302170,OC
All Civil Servants,All Civil Servants,B56,"In [my organisation], people are encouraged to speak up when they identify a serious policy or delivery risk",0.66,302170,OC
All Civil Servants,All Civil Servants,B57,I feel able to challenge inappropriate behaviour in the workplace,0.66,302170,OC
All Civil Servants,All Civil Servants,B58,My organisation is committed to creating a diverse and inclusive workplace,0.75,302170,OC
All Civil Servants,All Civil Servants,B61,I am aware of the Civil Service vision for 'A Brilliant Civil Service',0.53,302170,VL
All Civil Servants,All Civil Servants,B62,I understand how my work contributes to helping us become 'A Brilliant Civil Service',0.45,302170,VL
All Civil Servants,All Civil Servants,C01_1,I want to leave [my organisation] as soon as possible,0.09,302170,FI
All Civil Servants,All Civil Servants,C01_2,I want to leave [my organisation] within the next 12 months,0.13,302170,FI
All Civil Servants,All Civil Servants,C01_3,I want to stay working for [my organisation] for at least the next year,0.27,302170,FI
All Civil Servants,All Civil Servants,C01_4,I want to stay working for [my organisation] for at least the next three years,0.51,302170,FI
All Civil Servants,All Civil Servants,D01,Are you aware of the Civil Service Code?,0.89,302170,CS
All Civil Servants,All Civil Servants,D02,Are you aware of how to raise a concern under the Civil Service Code?,0.68,302170,CS
All Civil Servants,All Civil Servants,D03,Are you confident that if you raise a concern under the Civil Service Code in [your organisation] it would be investigated properly?,0.66,302170,CS
All Civil Servants,All Civil Servants,W01,"Overall, how satisfied are you with your life nowadays? (% 7-10)",0.65,302170,WB
All Civil Servants,All Civil Servants,W02,"Overall, to what extent do you think the things you do in your life are worthwhile? (% 7-10)",0.7,302170,WB
All Civil Servants,All Civil Servants,W03,"Overall, how happy did you feel yesterday? (% 7-10)",0.62,302170,WB
All Civil Servants,All Civil Servants,W04,"Overall, how anxious did you feel yesterday? (% 6-10)",0.32,302170,WB
All Civil Servants,All Civil Servants,E01,During the past 12 months have you personally experienced discrimination at work?  (% yes),0.14,302170,DS
All Civil Servants,All Civil Servants,E03,During the past 12 months have you personally experienced bullying or harassment at work?  (% yes),0.12,302170,BH
All Civil Servants,All Civil Servants,E05,Did you report the bullying and harassment you experienced? (% yes),0.4,302170,BH
All Civil Servants,All Civil Servants,E06,"In your opinion, has this issue been resolved? (% yes)",0.2,302170,BH
Grade,AO/AA,EES,Employee engagement index,0.54,72331,SUMMARY
Grade,EO,EES,Employee engagement index,0.57,71889,SUMMARY
Grade,SEO/HEO,EES,Employee engagement index,0.6,85365,SUMMARY
Grade,G6/G7,EES,Employee engagement index,0.63,39530,SUMMARY
Grade,SCS,EES,Employee engagement index,0.78,5462,SUMMARY
Grade,AO/AA,MW,My work  theme score,0.61,72331,SUMMARY
Grade,EO,MW,My work  theme score,0.72,71889,SUMMARY
Grade,SEO/HEO,MW,My work  theme score,0.79,85365,SUMMARY
Grade,G6/G7,MW,My work  theme score,0.85,39530,SUMMARY
Grade,SCS,MW,My work  theme score,0.94,5462,SUMMARY
Grade,AO/AA,OP,Organisational objectives and purpose  theme score,0.75,72331,SUMMARY
Grade,EO,OP,Organisational objectives and purpose  theme score,0.8,71889,SUMMARY
Grade,SEO/HEO,OP,Organisational objectives and purpose  theme score,0.81,85365,SUMMARY
Grade,G6/G7,OP,Organisational objectives and purpose  theme score,0.87,39530,SUMMARY
Grade,SCS,OP,Organisational objectives and purpose  theme score,0.95,5462,SUMMARY
Grade,AO/AA,LM,My manager  theme score,0.66,72331,SUMMARY
Grade,EO,LM,My manager  theme score,0.7,71889,SUMMARY
Grade,SEO/HEO,LM,My manager  theme score,0.71,85365,SUMMARY
Grade,G6/G7,LM,My manager  theme score,0.72,39530,SUMMARY
Grade,SCS,LM,My manager  theme score,0.84,5462,SUMMARY
Grade,AO/AA,MT,My team  theme score,0.77,72331,SUMMARY
Grade,EO,MT,My team  theme score,0.81,71889,SUMMARY
Grade,SEO/HEO,MT,My team  theme score,0.82,85365,SUMMARY
Grade,G6/G7,MT,My team  theme score,0.86,39530,SUMMARY
Grade,SCS,MT,My team  theme score,0.95,5462,SUMMARY
Grade,AO/AA,LD,Learning and development  theme score,0.47,72331,SUMMARY
Grade,EO,LD,Learning and development  theme score,0.55,71889,SUMMARY
Grade,SEO/HEO,LD,Learning and development  theme score,0.57,85365,SUMMARY
Grade,G6/G7,LD,Learning and development  theme score,0.6,39530,SUMMARY
Grade,SCS,LD,Learning and development  theme score,0.78,5462,SUMMARY
Grade,AO/AA,IF,Inclusion and fair treatment  theme score,0.71,72331,SUMMARY
Grade,EO,IF,Inclusion and fair treatment  theme score,0.76,71889,SUMMARY
Grade,SEO/HEO,IF,Inclusion and fair treatment  theme score,0.79,85365,SUMMARY
Grade,G6/G7,IF,Inclusion and fair treatment  theme score,0.82,39530,SUMMARY
Grade,SCS,IF,Inclusion and fair treatment  theme score,0.9,5462,SUMMARY
Grade,AO/AA,RW,Resources and workload  theme score,0.7,72331,SUMMARY
Grade,EO,RW,Resources and workload  theme score,0.72,71889,SUMMARY
Grade,SEO/HEO,RW,Resources and workload  theme score,0.7,85365,SUMMARY
Grade,G6/G7,RW,Resources and workload  theme score,0.71,39530,SUMMARY
Grade,SCS,RW,Resources and workload  theme score,0.8,5462,SUMMARY
Grade,AO/AA,PB,Pay and benefits  theme score,0.24,72331,SUMMARY
Grade,EO,PB,Pay and benefits  theme score,0.3,71889,SUMMARY
Grade,SEO/HEO,PB,Pay and benefits  theme score,0.32,85365,SUMMARY
Grade,G6/G7,PB,Pay and benefits  theme score,0.38,39530,SUMMARY
Grade,SCS,PB,Pay and benefits  theme score,0.4,5462,SUMMARY
Grade,AO/AA,LC,Leadership and managing change  theme score,0.37,72331,SUMMARY
Grade,EO,LC,Leadership and managing change  theme score,0.41,71889,SUMMARY
Grade,SEO/HEO,LC,Leadership and managing change  theme score,0.45,85365,SUMMARY
Grade,G6/G7,LC,Leadership and managing change  theme score,0.51,39530,SUMMARY
Grade,SCS,LC,Leadership and managing change  theme score,0.75,5462,SUMMARY
Grade,AO/AA,B01,I am interested in my work,0.8,72331,MW
Grade,EO,B01,I am interested in my work,0.88,71889,MW
Grade,SEO/HEO,B01,I am interested in my work,0.91,85365,MW
Grade,G6/G7,B01,I am interested in my work,0.95,39530,MW
Grade,SCS,B01,I am interested in my work,0.98,5462,MW
Grade,AO/AA,B02,I am sufficiently challenged by my work,0.69,72331,MW
Grade,EO,B02,I am sufficiently challenged by my work,0.79,71889,MW
Grade,SEO/HEO,B02,I am sufficiently challenged by my work,0.84,85365,MW
Grade,G6/G7,B02,I am sufficiently challenged by my work,0.89,39530,MW
Grade,SCS,B02,I am sufficiently challenged by my work,0.95,5462,MW
Grade,AO/AA,B03,My work gives me a sense of personal accomplishment,0.64,72331,MW
Grade,EO,B03,My work gives me a sense of personal accomplishment,0.75,71889,MW
Grade,SEO/HEO,B03,My work gives me a sense of personal accomplishment,0.78,85365,MW
Grade,G6/G7,B03,My work gives me a sense of personal accomplishment,0.84,39530,MW
Grade,SCS,B03,My work gives me a sense of personal accomplishment,0.93,5462,MW
Grade,AO/AA,B04,I feel involved in the decisions that affect my work,0.4,72331,MW
Grade,EO,B04,I feel involved in the decisions that affect my work,0.52,71889,MW
Grade,SEO/HEO,B04,I feel involved in the decisions that affect my work,0.61,85365,MW
Grade,G6/G7,B04,I feel involved in the decisions that affect my work,0.71,39530,MW
Grade,SCS,B04,I feel involved in the decisions that affect my work,0.9,5462,MW
Grade,AO/AA,B05,I have a choice in deciding how I do my work,0.5,72331,MW
Grade,EO,B05,I have a choice in deciding how I do my work,0.66,71889,MW
Grade,SEO/HEO,B05,I have a choice in deciding how I do my work,0.79,85365,MW
Grade,G6/G7,B05,I have a choice in deciding how I do my work,0.86,39530,MW
Grade,SCS,B05,I have a choice in deciding how I do my work,0.93,5462,MW
Grade,AO/AA,B06,I have a clear understanding of [my organisation's] objectives,0.74,72331,OP
Grade,EO,B06,I have a clear understanding of [my organisation's] objectives,0.79,71889,OP
Grade,SEO/HEO,B06,I have a clear understanding of [my organisation's] objectives,0.8,85365,OP
Grade,G6/G7,B06,I have a clear understanding of [my organisation's] objectives,0.86,39530,OP
Grade,SCS,B06,I have a clear understanding of [my organisation's] objectives,0.94,5462,OP
Grade,AO/AA,B07,I understand how my work contributes to [my organisation's] objectives,0.77,72331,OP
Grade,EO,B07,I understand how my work contributes to [my organisation's] objectives,0.82,71889,OP
Grade,SEO/HEO,B07,I understand how my work contributes to [my organisation's] objectives,0.83,85365,OP
Grade,G6/G7,B07,I understand how my work contributes to [my organisation's] objectives,0.88,39530,OP
Grade,SCS,B07,I understand how my work contributes to [my organisation's] objectives,0.95,5462,OP
Grade,AO/AA,B08,My manager motivates me to be more effective in my job,0.67,72331,LM
Grade,EO,B08,My manager motivates me to be more effective in my job,0.71,71889,LM
Grade,SEO/HEO,B08,My manager motivates me to be more effective in my job,0.72,85365,LM
Grade,G6/G7,B08,My manager motivates me to be more effective in my job,0.74,39530,LM
Grade,SCS,B08,My manager motivates me to be more effective in my job,0.86,5462,LM
Grade,AO/AA,B09,My manager is considerate of my life outside work,0.77,72331,LM
Grade,EO,B09,My manager is considerate of my life outside work,0.83,71889,LM
Grade,SEO/HEO,B09,My manager is considerate of my life outside work,0.87,85365,LM
Grade,G6/G7,B09,My manager is considerate of my life outside work,0.87,39530,LM
Grade,SCS,B09,My manager is considerate of my life outside work,0.89,5462,LM
Grade,AO/AA,B10,My manager is open to my ideas,0.73,72331,LM
Grade,EO,B10,My manager is open to my ideas,0.79,71889,LM
Grade,SEO/HEO,B10,My manager is open to my ideas,0.84,85365,LM
Grade,G6/G7,B10,My manager is open to my ideas,0.87,39530,LM
Grade,SCS,B10,My manager is open to my ideas,0.92,5462,LM
Grade,AO/AA,B11,My manager helps me to understand how I contribute to [my organisation's] objectives,0.63,72331,LM
Grade,EO,B11,My manager helps me to understand how I contribute to [my organisation's] objectives,0.67,71889,LM
Grade,SEO/HEO,B11,My manager helps me to understand how I contribute to [my organisation's] objectives,0.66,85365,LM
Grade,G6/G7,B11,My manager helps me to understand how I contribute to [my organisation's] objectives,0.7,39530,LM
Grade,SCS,B11,My manager helps me to understand how I contribute to [my organisation's] objectives,0.86,5462,LM
Grade,AO/AA,B12,"Overall, I have confidence in the decisions made by my manager",0.69,72331,LM
Grade,EO,B12,"Overall, I have confidence in the decisions made by my manager",0.73,71889,LM
Grade,SEO/HEO,B12,"Overall, I have confidence in the decisions made by my manager",0.77,85365,LM
Grade,G6/G7,B12,"Overall, I have confidence in the decisions made by my manager",0.79,39530,LM
Grade,SCS,B12,"Overall, I have confidence in the decisions made by my manager",0.9,5462,LM
Grade,AO/AA,B13,My manager recognises when I have done my job well,0.76,72331,LM
Grade,EO,B13,My manager recognises when I have done my job well,0.79,71889,LM
Grade,SEO/HEO,B13,My manager recognises when I have done my job well,0.8,85365,LM
Grade,G6/G7,B13,My manager recognises when I have done my job well,0.81,39530,LM
Grade,SCS,B13,My manager recognises when I have done my job well,0.88,5462,LM
Grade,AO/AA,B14,I receive regular feedback on my performance,0.68,72331,LM
Grade,EO,B14,I receive regular feedback on my performance,0.7,71889,LM
Grade,SEO/HEO,B14,I receive regular feedback on my performance,0.69,85365,LM
Grade,G6/G7,B14,I receive regular feedback on my performance,0.67,39530,LM
Grade,SCS,B14,I receive regular feedback on my performance,0.78,5462,LM
Grade,AO/AA,B15,The feedback I receive helps me to improve my performance,0.63,72331,LM
Grade,EO,B15,The feedback I receive helps me to improve my performance,0.65,71889,LM
Grade,SEO/HEO,B15,The feedback I receive helps me to improve my performance,0.64,85365,LM
Grade,G6/G7,B15,The feedback I receive helps me to improve my performance,0.63,39530,LM
Grade,SCS,B15,The feedback I receive helps me to improve my performance,0.78,5462,LM
Grade,AO/AA,B16,I think that my performance is evaluated fairly,0.63,72331,LM
Grade,EO,B16,I think that my performance is evaluated fairly,0.67,71889,LM
Grade,SEO/HEO,B16,I think that my performance is evaluated fairly,0.68,85365,LM
Grade,G6/G7,B16,I think that my performance is evaluated fairly,0.69,39530,LM
Grade,SCS,B16,I think that my performance is evaluated fairly,0.78,5462,LM
Grade,AO/AA,B17,Poor performance is dealt with effectively in my team,0.43,72331,LM
Grade,EO,B17,Poor performance is dealt with effectively in my team,0.42,71889,LM
Grade,SEO/HEO,B17,Poor performance is dealt with effectively in my team,0.41,85365,LM
Grade,G6/G7,B17,Poor performance is dealt with effectively in my team,0.45,39530,LM
Grade,SCS,B17,Poor performance is dealt with effectively in my team,0.74,5462,LM
Grade,AO/AA,B18,The people in my team can be relied upon to help when things get difficult in my job,0.84,72331,MT
Grade,EO,B18,The people in my team can be relied upon to help when things get difficult in my job,0.85,71889,MT
Grade,SEO/HEO,B18,The people in my team can be relied upon to help when things get difficult in my job,0.86,85365,MT
Grade,G6/G7,B18,The people in my team can be relied upon to help when things get difficult in my job,0.88,39530,MT
Grade,SCS,B18,The people in my team can be relied upon to help when things get difficult in my job,0.95,5462,MT
Grade,AO/AA,B19,The people in my team work together to find ways to improve the service we provide,0.79,72331,MT
Grade,EO,B19,The people in my team work together to find ways to improve the service we provide,0.82,71889,MT
Grade,SEO/HEO,B19,The people in my team work together to find ways to improve the service we provide,0.83,85365,MT
Grade,G6/G7,B19,The people in my team work together to find ways to improve the service we provide,0.87,39530,MT
Grade,SCS,B19,The people in my team work together to find ways to improve the service we provide,0.95,5462,MT
Grade,AO/AA,B20,The people in my team are encouraged to come up with new and better ways of doing things,0.67,72331,MT
Grade,EO,B20,The people in my team are encouraged to come up with new and better ways of doing things,0.74,71889,MT
Grade,SEO/HEO,B20,The people in my team are encouraged to come up with new and better ways of doing things,0.78,85365,MT
Grade,G6/G7,B20,The people in my team are encouraged to come up with new and better ways of doing things,0.83,39530,MT
Grade,SCS,B20,The people in my team are encouraged to come up with new and better ways of doing things,0.94,5462,MT
Grade,AO/AA,B21,I am able to access the right learning and development opportunities when I need to,0.6,72331,LD
Grade,EO,B21,I am able to access the right learning and development opportunities when I need to,0.65,71889,LD
Grade,SEO/HEO,B21,I am able to access the right learning and development opportunities when I need to,0.64,85365,LD
Grade,G6/G7,B21,I am able to access the right learning and development opportunities when I need to,0.66,39530,LD
Grade,SCS,B21,I am able to access the right learning and development opportunities when I need to,0.84,5462,LD
Grade,AO/AA,B22,Learning and development activities I have completed in the past 12 months have helped to improve my performance,0.45,72331,LD
Grade,EO,B22,Learning and development activities I have completed in the past 12 months have helped to improve my performance,0.55,71889,LD
Grade,SEO/HEO,B22,Learning and development activities I have completed in the past 12 months have helped to improve my performance,0.55,85365,LD
Grade,G6/G7,B22,Learning and development activities I have completed in the past 12 months have helped to improve my performance,0.59,39530,LD
Grade,SCS,B22,Learning and development activities I have completed in the past 12 months have helped to improve my performance,0.77,5462,LD
Grade,AO/AA,B23,There are opportunities for me to develop my career in [my organisation],0.47,72331,LD
Grade,EO,B23,There are opportunities for me to develop my career in [my organisation],0.54,71889,LD
Grade,SEO/HEO,B23,There are opportunities for me to develop my career in [my organisation],0.57,85365,LD
Grade,G6/G7,B23,There are opportunities for me to develop my career in [my organisation],0.59,39530,LD
Grade,SCS,B23,There are opportunities for me to develop my career in [my organisation],0.73,5462,LD
Grade,AO/AA,B24,Learning and development activities I have completed while working for [my organisation] are helping me to develop my career,0.37,72331,LD
Grade,EO,B24,Learning and development activities I have completed while working for [my organisation] are helping me to develop my career,0.47,71889,LD
Grade,SEO/HEO,B24,Learning and development activities I have completed while working for [my organisation] are helping me to develop my career,0.52,85365,LD
Grade,G6/G7,B24,Learning and development activities I have completed while working for [my organisation] are helping me to develop my career,0.57,39530,LD
Grade,SCS,B24,Learning and development activities I have completed while working for [my organisation] are helping me to develop my career,0.77,5462,LD
Grade,AO/AA,B25,I am treated fairly at work,0.74,72331,IF
Grade,EO,B25,I am treated fairly at work,0.78,71889,IF
Grade,SEO/HEO,B25,I am treated fairly at work,0.82,85365,IF
Grade,G6/G7,B25,I am treated fairly at work,0.85,39530,IF
Grade,SCS,B25,I am treated fairly at work,0.91,5462,IF
Grade,AO/AA,B26,I am treated with respect by the people I work with,0.83,72331,IF
Grade,EO,B26,I am treated with respect by the people I work with,0.85,71889,IF
Grade,SEO/HEO,B26,I am treated with respect by the people I work with,0.87,85365,IF
Grade,G6/G7,B26,I am treated with respect by the people I work with,0.89,39530,IF
Grade,SCS,B26,I am treated with respect by the people I work with,0.94,5462,IF
Grade,AO/AA,B27,I feel valued for the work I do,0.57,72331,IF
Grade,EO,B27,I feel valued for the work I do,0.65,71889,IF
Grade,SEO/HEO,B27,I feel valued for the work I do,0.69,85365,IF
Grade,G6/G7,B27,I feel valued for the work I do,0.74,39530,IF
Grade,SCS,B27,I feel valued for the work I do,0.86,5462,IF
Grade,AO/AA,B28,"I think that [my organisation] respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc.)",0.7,72331,IF
Grade,EO,B28,"I think that [my organisation] respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc.)",0.75,71889,IF
Grade,SEO/HEO,B28,"I think that [my organisation] respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc.)",0.77,85365,IF
Grade,G6/G7,B28,"I think that [my organisation] respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc.)",0.8,39530,IF
Grade,SCS,B28,"I think that [my organisation] respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc.)",0.89,5462,IF
Grade,AO/AA,B29,I get the information I need to do my job well,0.64,72331,RW
Grade,EO,B29,I get the information I need to do my job well,0.68,71889,RW
Grade,SEO/HEO,B29,I get the information I need to do my job well,0.67,85365,RW
Grade,G6/G7,B29,I get the information I need to do my job well,0.72,39530,RW
Grade,SCS,B29,I get the information I need to do my job well,0.88,5462,RW
Grade,AO/AA,B30,I have clear work objectives,0.76,72331,RW
Grade,EO,B30,I have clear work objectives,0.76,71889,RW
Grade,SEO/HEO,B30,I have clear work objectives,0.73,85365,RW
Grade,G6/G7,B30,I have clear work objectives,0.77,39530,RW
Grade,SCS,B30,I have clear work objectives,0.91,5462,RW
Grade,AO/AA,B31,I have the skills I need to do my job effectively,0.83,72331,RW
Grade,EO,B31,I have the skills I need to do my job effectively,0.85,71889,RW
Grade,SEO/HEO,B31,I have the skills I need to do my job effectively,0.85,85365,RW
Grade,G6/G7,B31,I have the skills I need to do my job effectively,0.91,39530,RW
Grade,SCS,B31,I have the skills I need to do my job effectively,0.96,5462,RW
Grade,AO/AA,B32,I have the tools I need to do my job effectively,0.63,72331,RW
Grade,EO,B32,I have the tools I need to do my job effectively,0.66,71889,RW
Grade,SEO/HEO,B32,I have the tools I need to do my job effectively,0.66,85365,RW
Grade,G6/G7,B32,I have the tools I need to do my job effectively,0.68,39530,RW
Grade,SCS,B32,I have the tools I need to do my job effectively,0.8,5462,RW
Grade,AO/AA,B33,I have an acceptable workload,0.65,72331,RW
Grade,EO,B33,I have an acceptable workload,0.66,71889,RW
Grade,SEO/HEO,B33,I have an acceptable workload,0.61,85365,RW
Grade,G6/G7,B33,I have an acceptable workload,0.55,39530,RW
Grade,SCS,B33,I have an acceptable workload,0.64,5462,RW
Grade,AO/AA,B34,I achieve a good balance between my work life and my private life,0.7,72331,RW
Grade,EO,B34,I achieve a good balance between my work life and my private life,0.72,71889,RW
Grade,SEO/HEO,B34,I achieve a good balance between my work life and my private life,0.7,85365,RW
Grade,G6/G7,B34,I achieve a good balance between my work life and my private life,0.63,39530,RW
Grade,SCS,B34,I achieve a good balance between my work life and my private life,0.65,5462,RW
Grade,AO/AA,B35,I feel that my pay adequately reflects my performance,0.21,72331,PB
Grade,EO,B35,I feel that my pay adequately reflects my performance,0.29,71889,PB
Grade,SEO/HEO,B35,I feel that my pay adequately reflects my performance,0.33,85365,PB
Grade,G6/G7,B35,I feel that my pay adequately reflects my performance,0.4,39530,PB
Grade,SCS,B35,I feel that my pay adequately reflects my performance,0.42,5462,PB
Grade,AO/AA,B36,I am satisfied with the total benefits package,0.28,72331,PB
Grade,EO,B36,I am satisfied with the total benefits package,0.35,71889,PB
Grade,SEO/HEO,B36,I am satisfied with the total benefits package,0.36,85365,PB
Grade,G6/G7,B36,I am satisfied with the total benefits package,0.41,39530,PB
Grade,SCS,B36,I am satisfied with the total benefits package,0.44,5462,PB
Grade,AO/AA,B37,Compared to people doing a similar job in other organisations I feel my pay is reasonable,0.21,72331,PB
Grade,EO,B37,Compared to people doing a similar job in other organisations I feel my pay is reasonable,0.27,71889,PB
Grade,SEO/HEO,B37,Compared to people doing a similar job in other organisations I feel my pay is reasonable,0.27,85365,PB
Grade,G6/G7,B37,Compared to people doing a similar job in other organisations I feel my pay is reasonable,0.33,39530,PB
Grade,SCS,B37,Compared to people doing a similar job in other organisations I feel my pay is reasonable,0.34,5462,PB
Grade,AO/AA,B38,[Senior managers] in [my organisation] are sufficiently visible,0.48,72331,LC
Grade,EO,B38,[Senior managers] in [my organisation] are sufficiently visible,0.5,71889,LC
Grade,SEO/HEO,B38,[Senior managers] in [my organisation] are sufficiently visible,0.59,85365,LC
Grade,G6/G7,B38,[Senior managers] in [my organisation] are sufficiently visible,0.66,39530,LC
Grade,SCS,B38,[Senior managers] in [my organisation] are sufficiently visible,0.86,5462,LC
Grade,AO/AA,B39,I believe the actions of [senior managers] are consistent with [my organisation's] values,0.42,72331,LC
Grade,EO,B39,I believe the actions of [senior managers] are consistent with [my organisation's] values,0.46,71889,LC
Grade,SEO/HEO,B39,I believe the actions of [senior managers] are consistent with [my organisation's] values,0.53,85365,LC
Grade,G6/G7,B39,I believe the actions of [senior managers] are consistent with [my organisation's] values,0.59,39530,LC
Grade,SCS,B39,I believe the actions of [senior managers] are consistent with [my organisation's] values,0.82,5462,LC
